Array Size, Start, End, Difference, f(Hz), time(s)16, 933501140810, 933501140812, 2, 10000000, 2e-07
32, 933501163632, 933501163634, 2, 10000000, 2e-07
64, 933501165861, 933501165864, 3, 10000000, 3e-07
128, 933501167703, 933501167709, 6, 10000000, 6e-07
256, 933501169763, 933501169777, 14, 10000000, 1.4e-06
512, 933501172649, 933501172668, 19, 10000000, 1.9e-06
1024, 933501176933, 933501176970, 37, 10000000, 3.7e-06
2048, 933501183904, 933501183980, 76, 10000000, 7.6e-06
4096, 933501196165, 933501196323, 158, 10000000, 1.58e-05
8192, 933501218997, 933501219297, 300, 10000000, 3e-05
16384, 933501262936, 933501263524, 588, 10000000, 5.88e-05
32768, 933501344604, 933501345868, 1264, 10000000, 0.0001264
65536, 933501508335, 933501510825, 2490, 10000000, 0.000249
